Employee_Id,Avg_Working_Hours_Per_Day,Work_From,Work_Pressure,Manager_Support,Sleeping_Habit,Exercise_Habit,Job_Satisfaction,Work_Life_Balance,Social_Person,Lives_With_Family,Working_State,Stress_Level
EMP0001,6.7,Home,3,4,4,2,5,No,5,Yes,Karnataka,3
EMP0002,6.9,Home,1,1,5,4,3,Yes,3,Yes,Pune,4
EMP0003,15.1,Office,3,2,3,5,1,No,2,No,Delhi,1
EMP0004,10.7,Hybrid,3,2,5,3,2,No,1,No,Hyderabad,2
EMP0005,11.8,Home,2,2,4,1,5,No,5,Yes,Hyderabad,5
EMP0006,11.0,Hybrid,1,4,3,2,2,No,2,No,Karnataka,2
EMP0007,15.0,Hybrid,3,4,5,2,1,No,1,No,Pune,5
EMP0008,8.9,Home,4,4,2,4,2,No,3,No,Pune,4
EMP0009,8.3,Hybrid,4,3,3,5,2,Yes,1,No,Pune,4
EMP0010,8.5,Office,2,5,3,3,4,Yes,1,No,Chennai,2
EMP0011,12.2,Hybrid,5,3,5,2,1,Yes,3,No,Karnataka,3
EMP0012,9.0,Office,1,5,2,2,2,No,2,No,Chennai,4
EMP0013,8.1,Office,3,4,1,2,5,No,5,Yes,Hyderabad,1
EMP0014,8.7,Hybrid,2,4,4,1,2,No,2,Yes,Karnataka,5
EMP0015,7.8,Hybrid,2,3,3,5,5,Yes,4,Yes,Pune,5
EMP0016,9.9,Home,3,2,1,2,5,Yes,4,Yes,Hyderabad,3
EMP0017,10.3,Office,2,4,5,3,2,No,3,Yes,Hyderabad,4
EMP0018,7.7,Office,4,5,1,4,5,Yes,2,No,Delhi,3
EMP0019,10.3,Home,5,1,3,3,3,Yes,4,Yes,Pune,3
EMP0020,9.8,Home,3,3,4,1,4,Yes,2,No,Hyderabad,4
EMP0021,10.1,Office,2,1,1,2,5,No,3,No,Pune,2
EMP0022,8.8,Office,3,4,2,3,3,Yes,2,Yes,Karnataka,5
EMP0023,6.9,Home,4,2,2,4,1,No,5,No,Delhi,2
EMP0024,9.7,Office,4,3,5,2,1,Yes,4,No,Delhi,2
EMP0025,10.5,Home,3,4,2,4,5,Yes,2,Yes,Delhi,5
EMP0026,8.6,Office,4,3,1,2,5,No,3,No,Delhi,2
EMP0027,9.8,Office,5,3,1,1,3,No,3,Yes,Hyderabad,4
EMP0028,10.1,Hybrid,5,3,3,2,2,Yes,3,No,Delhi,2
EMP0029,11.0,Home,1,2,5,2,3,No,3,No,Karnataka,5
EMP0030,10.7,Hybrid,5,1,3,5,3,Yes,3,Yes,Chennai,1
EMP0031,8.2,Office,1,4,2,5,2,No,3,No,Hyderabad,1
EMP0032,11.1,Home,5,5,1,5,5,No,1,Yes,Chennai,1
EMP0033,9.0,Home,5,4,2,1,2,No,1,No,Chennai,4
EMP0034,5.4,Home,1,1,4,1,5,Yes,3,Yes,Delhi,1
EMP0035,7.4,Hybrid,2,3,3,3,1,Yes,2,Yes,Karnataka,2
EMP0036,8.2,Home,3,5,2,3,1,Yes,1,Yes,Chennai,1
EMP0037,10.6,Home,2,4,3,2,5,Yes,2,No,Pune,3
EMP0038,14.2,Hybrid,3,2,3,5,3,Yes,4,No,Karnataka,2
EMP0039,9.2,Office,5,2,2,5,2,Yes,3,Yes,Karnataka,2
EMP0040,12.9,Home,5,5,1,4,1,No,1,Yes,Pune,1
EMP0041,9.2,Office,2,4,3,4,1,Yes,3,Yes,Chennai,4
EMP0042,5.9,Hybrid,3,5,1,4,5,Yes,2,No,Delhi,2
EMP0043,11.4,Office,5,4,3,4,5,No,1,No,Hyderabad,3
